Time	MS	Frame Number	Direction	Event	All-Latitude	All-Longitude	All-Speed (km/h)	All-Scanned ARFCN[0]	All-Scanned RxLev (dBm)[0]	
16:09.0	MS1	0			9.959296667	-84.07846167	12	530			
16:09.0	MS1	0	DL		9.959296667	-84.07846167	12	530			
16:09.0	MS1	0			9.959296667	-84.07846167	12	530			
16:09.0	MS1	0	DL		9.959296667	-84.07846167	12	530			
16:09.0	MS1	Not Valid			9.959296667	-84.07846167				
16:09.0	MS1	0			9.959296667	-84.07846167	12	530		
16:09.0	MS1	Not Valid			9.959296667	-84.07846167				
16:09.0	MS1	Not Valid			9.959296667	-84.07846167				
16:09.3	MS1	0			9.959296667	-84.07846167	12	530		
16:09.3	MS1	0	DL		9.959296667	-84.07846167	12	530		
16:09.5	MS1	0			9.959296667	-84.07846167	12	530		
16:09.5	MS1	0			9.959265	-84.07846833	14	530		
16:09.5	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.5	MS1	0			9.959265	-84.07846833	14	530		
16:09.5	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.7	MS1	0			9.959265	-84.07846833	14	530		
16:09.7	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.7	MS1	0			9.959265	-84.07846833	14	530		
16:09.7	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.7	MS1	0			9.959265	-84.07846833	14	530		
16:09.7	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.7	MS1	0			9.959265	-84.07846833	14	530		
16:09.7	MS1	0	DL		9.959265	-84.07846833	14	530		
16:09.7	MS1	0			9.959265	-84.07846833	14	530		
16:09.7	MS1	0	DL		9.959225	-84.07847167	14	530		
16:09.7	MS1	0			9.959225	-84.07847167	14	530	-88	
16:09.7	MS1	0			9.959225	-84.07847167	14	530	-88	
16:09.8	MS1	0			9.959225	-84.07847167	14	530	-88	
16:10.6	MS1	0	DL		9.959225	-84.07847167	14	530	-88	
16:10.6	MS1	0			9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0			9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0			9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0	DL		9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0			9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0	DL		9.959225	-84.07847167	14	530	-88	
16:10.7	MS1	0			9.959225	-84.07847167	17	530	-88	
16:10.8	MS1	0			9.959225	-84.07847167	17	530	-88	
16:10.8	MS1	0			9.959225	-84.07847167	17	530	-88	
16:10.8	MS1	0			9.959225	-84.07847167	17	530	-81	
16:10.8	MS1	0			9.959225	-84.07847167	17	530	-81	
16:10.9	MS1	0			9.959225	-84.07847167	17	530	-81	
16:10.9	MS1	0			9.959225	-84.07847167	17	530	-81	
16:10.9	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0	DL		9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0	DL		9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.1	MS1	0	DL		9.959225	-84.07847167	17	530	-81	
16:11.2	MS1	0			9.959225	-84.07847167	17	530	-81	
16:11.2	MS1	0			9.959181667	-84.07847333	17	530	-81	
